Nombre,Temporada
,
Crown of Tempests,1
Crown of Tempests,1
Eye of Another World,1
Eye of Another World,1
Nezarec's Sin,1
Nezarec's Sin,1
Skull of Dire Ahamkara,1
Skull of Dire Ahamkara,1
Karnstein Armlets,1
Karnstein Armlets,1
Sunbracers,1
Sunbracers,1
Winter's Guile,1
Winter's Guile,1
Starfire Protocol,1
Starfire Protocol,1
Wings of Sacred Dawn,1
Wings of Sacred Dawn,1
Lunafaction Boots,1
Lunafaction Boots,1
Transversive Steps,1
Transversive Steps,1
Ankaa Seeker IV,1
Ankaa Seeker IV,1
Ankaa Seeker IV,1
Anti-Extinction Hood,1
Anti-Extinction Hood,1
Channeling Cowl,1
Channeling Cowl,1
Ego Talon IV,1
Ego Talon IV,1
Ego Talon IV,1
Exodus Down Hood,1
Exodus Down Hood,1
Exodus Down Hood,1
Exodus Down Hood,1
Focusing Cowl,1
Focusing Cowl,1
Gensym Knight Hood,1
Gensym Knight Hood,1
Gensym Knight Hood,1
Headpiece of the Emperor's Minister,1
Headpiece of the Emperor's Minister,1
Headpiece of the Emperor's Minister,1
Heiro Camo,1
Heiro Camo,1
Heiro Camo,1
High-Minded Complex,1
High-Minded Complex,1
High-Minded Complex,1
Hood of Optimacy,1
Hood of Optimacy,1
Iron Truage Hood,1
Iron Truage Hood,1
Iron Truage Hood,1
Iron Truage Hood,1
Lost Pacific Helmet,1
Lost Pacific Helmet,1
Lost Pacific Helmet,1
Mask of the Fulminator,1
Mask of the Fulminator,1
Mask of the Fulminator,1
Philomath Cover,1
Philomath Cover,1
Philomath Cover,1
Simulator Hood,1
Simulator Hood,1
Sovereign Hood,1
Sovereign Hood,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Wildwood Cover,1
Wildwood Cover,1
Xenos Vale IV,1
Xenos Vale IV,1
Xenos Vale IV,1
Ankaa Seeker IV,1
Ankaa Seeker IV,1
Ankaa Seeker IV,1
Anti-Extinction Gloves,1
Anti-Extinction Gloves,1
Arms of Optimacy,1
Arms of Optimacy,1
Channeling Wraps,1
Channeling Wraps,1
Ego Talon IV,1
Ego Talon IV,1
Ego Talon IV,1
Exodus Down Gloves,1
Exodus Down Gloves,1
Exodus Down Gloves,1
Exodus Down Gloves,1
Focusing Wraps,1
Focusing Wraps,1
Gensym Knight Gloves,1
Gensym Knight Gloves,1
Gensym Knight Gloves,1
Heiro Camo,1
Heiro Camo,1
Heiro Camo,1
High-Minded Complex,1
High-Minded Complex,1
High-Minded Complex,1
Iron Truage Gloves,1
Iron Truage Gloves,1
Iron Truage Gloves,1
Iron Truage Gloves,1
Lost Pacific Gloves,1
Lost Pacific Gloves,1
Lost Pacific Gloves,1
Philomath Gloves,1
Philomath Gloves,1
Philomath Gloves,1
Simulator Gloves,1
Simulator Gloves,1
Sovereign Gloves,1
Sovereign Gloves,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Wildwood Gloves,1
Wildwood Gloves,1
Wraps of the Emperor's Minister,1
Wraps of the Emperor's Minister,1
Wraps of the Emperor's Minister,1
Wraps of the Fulminator,1
Wraps of the Fulminator,1
Wraps of the Fulminator,1
Xenos Vale IV,1
Xenos Vale IV,1
Xenos Vale IV,1
Ankaa Seeker IV,1
Ankaa Seeker IV,1
Ankaa Seeker IV,1
Anti-Extinction Robes,1
Anti-Extinction Robes,1
Channeling Robes,1
Channeling Robes,1
Ego Talon IV,1
Ego Talon IV,1
Ego Talon IV,1
Exodus Down Robes,1
Exodus Down Robes,1
Exodus Down Robes,1
Exodus Down Robes,1
Focusing Robes,1
Focusing Robes,1
Gensym Knight Robes,1
Gensym Knight Robes,1
Gensym Knight Robes,1
Heiro Camo,1
Heiro Camo,1
Heiro Camo,1
High-Minded Complex,1
High-Minded Complex,1
High-Minded Complex,1
Iron Truage Vestments,1
Iron Truage Vestments,1
Iron Truage Vestments,1
Iron Truage Vestments,1
Lost Pacific Robes,1
Lost Pacific Robes,1
Lost Pacific Robes,1
Philomath Robes,1
Philomath Robes,1
Philomath Robes,1
Robes of Optimacy,1
Robes of Optimacy,1
Robes of the Emperor's Minister,1
Robes of the Emperor's Minister,1
Robes of the Emperor's Minister,1
Robes of the Fulminator,1
Robes of the Fulminator,1
Robes of the Fulminator,1
Simulator Robes,1
Simulator Robes,1
Sovereign Robes,1
Sovereign Robes,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Wildwood Robes,1
Wildwood Robes,1
Xenos Vale IV,1
Xenos Vale IV,1
Xenos Vale IV,1
Ankaa Seeker IV,1
Ankaa Seeker IV,1
Ankaa Seeker IV,1
Anti-Extinction Boots,1
Anti-Extinction Boots,1
Boots of the Emperor's Minister,1
Boots of the Emperor's Minister,1
Boots of the Emperor's Minister,1
Boots of the Fulminator,1
Boots of the Fulminator,1
Boots of the Fulminator,1
Channeling Treads,1
Channeling Treads,1
Ego Talon IV,1
Ego Talon IV,1
Ego Talon IV,1
Exodus Down Boots,1
Exodus Down Boots,1
Exodus Down Boots,1
Exodus Down Boots,1
Focusing Boots,1
Focusing Boots,1
Gensym Knight Boots,1
Gensym Knight Boots,1
Gensym Knight Boots,1
Heiro Camo,1
Heiro Camo,1
Heiro Camo,1
High-Minded Complex,1
High-Minded Complex,1
High-Minded Complex,1
Iron Truage Legs,1
Iron Truage Legs,1
Iron Truage Legs,1
Iron Truage Legs,1
Legs of Optimacy,1
Legs of Optimacy,1
Lost Pacific Boots,1
Lost Pacific Boots,1
Lost Pacific Boots,1
Philomath Boots,1
Philomath Boots,1
Philomath Boots,1
Simulator Legs,1
Simulator Legs,1
Sovereign Legs,1
Sovereign Legs,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Tesseract Trace IV,1
Wildwood Boots,1
Wildwood Boots,1
Xenos Vale IV,1
Xenos Vale IV,1
Xenos Vale IV,1
Be Thy Cipher,1
Be Thy Cipher,1
Be Thy Cipher,1
Binary Phoenix Bond,1
Binary Phoenix Bond,1
Binary Phoenix Bond,1
Bond of Optimacy,1
Bond of Optimacy,1
Bond of the Emperor's Minister,1
Bond of the Emperor's Minister,1
Bond Relentless,1
Bond Relentless,1
Coronation Bond,1
Coronation Bond,1
Ego Talon Bond,1
Ego Talon Bond,1
Ego Talon Bond,1
Entanglement Bond,1
Entanglement Bond,1
Exodus Down Bond,1
Exodus Down Bond,1
Exodus Down Bond,1
Exodus Down Bond,1
Gensym Knight Bond,1
Gensym Knight Bond,1
Gensym Knight Bond,1
Hodiocentrist Bond,1
Hodiocentrist Bond,1
Hodiocentrist Bond,1
Hodiocentrist Bond,1
Judgement's Wrap,1
Judgement's Wrap,1
Lost Pacific Bond,1
Lost Pacific Bond,1
Lost Pacific Bond,1
Massyrian's Draw,1
Massyrian's Draw,1
Massyrian's Draw,1
Philomath Bond,1
Philomath Bond,1
Philomath Bond,1
Shadow's Bond,1
Shadow's Bond,1
Stella Incognita Bond,1
Stella Incognita Bond,1
The Beyond,1
The Beyond,1
The Beyond,1
Timur's Iron Bond,1
Timur's Iron Bond,1
Timur's Iron Bond,1
Timur's Iron Bond,1
Wildwood Bond,1
Wildwood Bond,1
Xenos Vale Bond,1
Xenos Vale Bond,1
Xenos Vale Bond,1
Atonement Tau,1
Atonement Tau,1
Chiron's Cure,1
Chiron's Cure,1
Farseeker's Casque,1
Farseeker's Casque,1
Prophet Snow,1
Prophet Snow,1
Atonement Tau,1
Atonement Tau,1
Chiron's Cure,1
Chiron's Cure,1
Farseeker's Reach,1
Farseeker's Reach,1
Gearhead Gloves,1
Gearhead Gloves,1
Prophet Snow,1
Prophet Snow,1
Songbreaker Gloves,1
Songbreaker Gloves,1
Atonement Tau,1
Atonement Tau,1
Chiron's Cure,1
Chiron's Cure,1
Farseeker's Intuition,1
Farseeker's Intuition,1
Prophet Snow,1
Prophet Snow,1
Shieldbreaker Robes,1
Shieldbreaker Robes,1
Atonement Tau,1
Atonement Tau,1
Chiron's Cure,1
Chiron's Cure,1
Farseeker's March,1
Farseeker's March,1
Mindbreaker Boots,1
Mindbreaker Boots,1
Prophet Snow,1
Prophet Snow,1
Bond of Chiron,1
Bond of Chiron,1
Bond of Forgotten Wars,1
Bond of Forgotten Wars,1
Fatum Praevaricator,1
Fatum Praevaricator,1
Orobas Vectura Bond,1
Orobas Vectura Bond,1
Stagnatious Rebuke,1
Stagnatious Rebuke,1
Unethical Experiments Bond,1
Unethical Experiments Bond,1
Cosmic Wind,1
Cry Defiance,1
Raven Shard,1
Vector Home,1
Cosmic Wind,1
Cry Defiance,1
Raven Shard,1
Vector Home,1
Cosmic Wind III,1
Cry Defiance,1
Raven Shard,1
Vector Home,1
Cosmic Wind III,1
Cry Defiance,1
Raven Shard,1
Vector Home,1
Bond of Symmetry,1
Bond of the Raven Shard,1
Homeward,1
Rite of Refusal,1
Aspirant Helm,1
Damaged Warlock Hood,1
Refugee Helm,1
Wise Warlock Hood,1
Aspirant Gloves,1
Damaged Warlock Gloves,1
Refugee Gloves,1
Wise Warlock Gloves,1
Aspirant Robes,1
Damaged Warlock Robe,1
Refugee Vest,1
Wise Warlock Robes,1
Aspirant Boots,1
Damaged Warlock Boots,1
Refugee Boots,1
Wise Warlock Boots,1
Bond of Insight,1
Bond of Refuge,1
Dreamer's Bond,1
Dreamer's Bond,1
Shattered Warlock Bond,1
Wise Warlock Bond,1
The Stag,2
The Stag,2
Aeon Soul,2
Aeon Soul,2
Ophidian Aspect,2
Ophidian Aspect,2
Vesper of Radius,2
Vesper of Radius,2
Kairos Function Crown,2
Kairos Function Crown,2
Kairos Function Crown,2
Mask of Sekris,2
Mask of Sekris,2
Mask of Sekris,2
Omega Mechanos Crown,2
Winterhart Cover,2
Winterhart Cover,2
Kairos Function Wraps,2
Kairos Function Wraps,2
Kairos Function Wraps,2
Omega Mechanos Gloves,2
Winterhart Gloves,2
Winterhart Gloves,2
Wraps of Sekris,2
Wraps of Sekris,2
Wraps of Sekris,2
Kairos Function Robes,2
Kairos Function Robes,2
Kairos Function Robes,2
Omega Mechanos Robes,2
Robes of Sekris,2
Robes of Sekris,2
Robes of Sekris,2
Winterhart Robes,2
Winterhart Robes,2
Boots of Sekris,2
Boots of Sekris,2
Boots of Sekris,2
Kairos Function Boots,2
Kairos Function Boots,2
Kairos Function Boots,2
Omega Mechanos Boots,2
Winterhart Boots,2
Winterhart Boots,2
Bond of Sekris,2
Bond of Sekris,2
Bond of Sekris,2
Festive Winter Bond,2
Festive Winter Bond,2
Kairos Function Bond,2
Kairos Function Bond,2
Kairos Function Bond,2
Omega Mechanos Bond,2
Winterhart Bond,2
Winterhart Bond,2
Apotheosis Veil,3
Apotheosis Veil,3
Verity's Brow,3
Verity's Brow,3
Claws of Ahamkara,3
Claws of Ahamkara,3
Sanguine Alchemy,3
Sanguine Alchemy,
BrayTech Researcher's Hood,3
BrayTech Researcher's Hood,3
Insight Vikti Hood,3
Insight Vikti Hood,3
Insight Vikti Hood,3
Insight Vikti Hood,3
Insigne Shade Cover,3
Insigne Shade Cover,3
Insigne Shade Cover,3
Mihaylova's Triumph,3
Solstice Hood (Resplendent),3
Solstice Hood (Resplendent),3
Yuga Sundown Helmet,3
Yuga Sundown Helmet,3
BrayTech Researcher's Gloves,3
BrayTech Researcher's Gloves,3
Insight Vikti Gloves,3
Insight Vikti Gloves,3
Insight Vikti Gloves,3
Insight Vikti Gloves,3
Insigne Shade Gloves,3
Insigne Shade Gloves,3
Insigne Shade Gloves,3
Mihaylova's Instruments,3
Solstice Gloves (Resplendent),3
Solstice Gloves (Resplendent),3
Yuga Sundown Gloves,3
Yuga Sundown Gloves,3
BrayTech Researcher's Robes,3
BrayTech Researcher's Robes,3
Insight Vikti Robes,3
Insight Vikti Robes,3
Insight Vikti Robes,3
Insight Vikti Robes,3
Insigne Shade Robes,3
Insigne Shade Robes,3
Insigne Shade Robes,3
Mihaylova's Choice,3
Solstice Robes (Resplendent),3
Solstice Robes (Resplendent),3
Yuga Sundown Robes,3
Yuga Sundown Robes,3
BrayTech Researcher's Boots,3
BrayTech Researcher's Boots,3
Insight Vikti Boots,3
Insight Vikti Boots,3
Insight Vikti Boots,3
Insight Vikti Boots,3
Insigne Shade Boots,3
Insigne Shade Boots,3
Insigne Shade Boots,3
Mihaylova's Path,3
Solstice Boots (Resplendent),3
Solstice Boots (Resplendent),3
Yuga Sundown Boots,3
Yuga Sundown Boots,3
BrayTech Researcher's Bond,3
BrayTech Researcher's Bond,3
Insigne Shade Bond,3
Insigne Shade Bond,3
Insigne Shade Bond,3
Mihaylova's Tale,3
Solstice Bond (Resplendent),3
Solstice Bond (Resplendent),3
Synaptic Construct,3
Synaptic Construct,3
Synaptic Construct,3
Synaptic Construct,3
Yuga Sundown Bond,3
Yuga Sundown Bond,3
Solstice Hood (Rekindled),3
Solstice Hood (Rekindled),3
Solstice Gloves (Rekindled),3
Solstice Gloves (Rekindled),3
Solstice Robes (Rekindled),3
Solstice Robes (Rekindled),3
Solstice Boots (Rekindled),3
Solstice Boots (Rekindled),3
Solstice Bond (Rekindled),3
Solstice Bond (Rekindled),3
Solstice Hood (Scorched),3
Solstice Hood (Scorched),3
Solstice Gloves (Scorched),3
Solstice Gloves (Scorched),3
Solstice Robes (Scorched),3
Solstice Robes (Scorched),3
Solstice Boots (Scorched),3
Solstice Boots (Scorched),3
Solstice Bond (Scorched),3
Solstice Bond (Scorched),3
Contraverse Hold,4
Contraverse Hold,4
Chromatic Fire,4
Chromatic Fire,4
Phoenix Protocol,4
Phoenix Protocol,4
Geomag Stabilizers,4
Geomag Stabilizers,4
Ancient Apocalypse Hood,4
Ancient Apocalypse Hood,4
Ancient Apocalypse Hood,4
Ancient Apocalypse Hood,4
Ancient Apocalypse Hood,4
Dragonfly Regalia Mandible,4
Eimin-Tin Ritual Mask,4
Eimin-Tin Ritual Mask,4
Eimin-Tin Ritual Mask,4
Hood of the Great Hunt,4
Hood of the Great Hunt,4
Hood of the Great Hunt,4
Hood of the Great Hunt,4
Iron Remembrance Hood,4
Iron Remembrance Hood,4
Iron Remembrance Hood,4
Iron Remembrance Hood,4
Liminal Voyager Hood,4
Prodigal Hood,4
Prodigal Hood,4
Prodigal Hood,4
Reverie Dawn Hood,4
Reverie Dawn Hood,4
Reverie Dawn Hood,4
Scatterhorn Hood,4
Scatterhorn Hood,4
Scatterhorn Hood,4
Tangled Web Hood,4
Tangled Web Hood,4
Tangled Web Hood,4
Thorium Holt Hood,4
Thorium Holt Hood,4
Thorium Holt Hood,4
Vigil of Heroes,4
Vigil of Heroes,4
Vigil of Heroes,4
Vigil of Heroes,4
Wing Theorem,4
Wing Theorem,4
Wing Theorem,4
Wing Theorem,4
Ancient Apocalypse Gloves,4
Ancient Apocalypse Gloves,4
Ancient Apocalypse Gloves,4
Ancient Apocalypse Gloves,4
Ancient Apocalypse Gloves,4
Dragonfly Regalia Reaches,4
Gloves of the Great Hunt,4
Gloves of the Great Hunt,4
Gloves of the Great Hunt,4
Gloves of the Great Hunt,4
Iron Remembrance Gloves,4
Iron Remembrance Gloves,4
Iron Remembrance Gloves,4
Iron Remembrance Gloves,4
Liminal Voyager Gloves,4
Prodigal Gloves,4
Prodigal Gloves,4
Prodigal Gloves,4
Reverie Dawn Gloves,4
Reverie Dawn Gloves,4
Reverie Dawn Gloves,4
Scatterhorn Wraps,4
Scatterhorn Wraps,4
Scatterhorn Wraps,4
Tangled Web Gloves,4
Tangled Web Gloves,4
Tangled Web Gloves,4
Thorium Holt Gloves,4
Thorium Holt Gloves,4
Thorium Holt Gloves,4
Vigil of Heroes,4
Vigil of Heroes,4
Vigil of Heroes,4
Vigil of Heroes,4
Wing Theorem,4
Wing Theorem,4
Wing Theorem,4
Wing Theorem,4
Ancient Apocalypse Robes,4
Ancient Apocalypse Robes,4
Ancient Apocalypse Robes,4
Ancient Apocalypse Robes,4
Ancient Apocalypse Robes,4
Dragonfly Regalia Robes,4
Iron Remembrance Vestments,4
Iron Remembrance Vestments,4
Iron Remembrance Vestments,4
Iron Remembrance Vestments,4
Liminal Voyager Robes,4
Prodigal Robes,4
Prodigal Robes,4
Prodigal Robes,4
Reverie Dawn Tabard,4
Reverie Dawn Tabard,4
Reverie Dawn Tabard,4
Robes of the Great Hunt,4
Robes of the Great Hunt,4
Robes of the Great Hunt,4
Robes of the Great Hunt,4
Scatterhorn Robe,4
Scatterhorn Robe,4
Scatterhorn Robe,4
Scorned Baron Robes,4
Scorned Baron Robes,4
Scorned Baron Robes,4
Tangled Web Robes,4
Tangled Web Robes,4
Tangled Web Robes,4
Thorium Holt Robes,4
Thorium Holt Robes,4
Thorium Holt Robes,4
Vigil of Heroes,4
Vigil of Heroes,4
Vigil of Heroes,4
Vigil of Heroes,4
Wing Theorem,4
Wing Theorem,4
Wing Theorem,4
Wing Theorem,4
Ancient Apocalypse Boots,4
Ancient Apocalypse Boots,4
Ancient Apocalypse Boots,4
Ancient Apocalypse Boots,4
Ancient Apocalypse Boots,4
Boots of the Great Hunt,4
Boots of the Great Hunt,4
Boots of the Great Hunt,4
Boots of the Great Hunt,4
Dragonfly Regalia Boots,4
Iron Remembrance Legs,4
Iron Remembrance Legs,4
Iron Remembrance Legs,4
Iron Remembrance Legs,4
Liminal Voyager Boots,4
Prodigal Steps,4
Prodigal Steps,4
Prodigal Steps,4
Reverie Dawn Boots,4
Reverie Dawn Boots,4
Reverie Dawn Boots,4
Scatterhorn Boots,4
Scatterhorn Boots,4
Scatterhorn Boots,4
Tangled Web Boots,4
Tangled Web Boots,4
Tangled Web Boots,4
Thorium Holt Boots,4
Thorium Holt Boots,4
Thorium Holt Boots,4
Vigil of Heroes,4
Vigil of Heroes,4
Vigil of Heroes,4
Vigil of Heroes,4
Wing Theorem,4
Wing Theorem,4
Wing Theorem,4
Wing Theorem,4
Ancient Apocalypse Bond,4
Ancient Apocalypse Bond,4
Ancient Apocalypse Bond,4
Ancient Apocalypse Bond,4
Ancient Apocalypse Bond,4
Bond of Remembrance,4
Bond of Remembrance,4
Bond of Remembrance,4
Bond of Remembrance,4
Bond of the Great Hunt,4
Bond of the Great Hunt,4
Bond of the Great Hunt,4
Bond of the Great Hunt,4
Dragonfly Regalia Bond,4
Liminal Voyager Bond,4
Memory of Cayde,4
Memory of Cayde,4
Memory of Cayde,4
Prodigal Bond,4
Prodigal Bond,4
Prodigal Bond,4
Reverie Dawn Bond,4
Reverie Dawn Bond,4
Reverie Dawn Bond,4
Scatterhorn Bond,4
Scatterhorn Bond,4
Scatterhorn Bond,4
Tangled Web Bond,4
Tangled Web Bond,4
Tangled Web Bond,4
Thorium Holt Bond,4
Thorium Holt Bond,4
Thorium Holt Bond,4
Vigil of Heroes,4
Vigil of Heroes,4
Vigil of Heroes,4
Vigil of Heroes,4
Wing Theorem,4
Wing Theorem,4
Wing Theorem,4
Wing Theorem,4
Atonement Tau,4
Atonement Tau,4
Chiron's Cure,4
Chiron's Cure,4
Farseeker's Casque,4
Farseeker's Casque,4
Prophet Snow,4
